Date;gr;tmin;tmax;pr;pe
21.09.2000T00:00:00+00:00;2.240738E-005;32;23;0.0007874;0.0028641732
22.09.2000T00:00:00+00:00;2.109136E-005;32;25;0;0.0028641732
23.09.2000T00:00:00+00:00;1.9853928E-005;33.4;24;0.001476375;0.0028641732
24.09.2000T00:00:00+00:00;1.8789532E-005;33.8;25;0;0.0028641732
25.09.2000T00:00:00+00:00;0.000017844;31.8;26;0;0.0028641732
26.09.2000T00:00:00+00:00;1.6801924E-005;28.8;24;0.006791325;0.0028641732
27.09.2000T00:00:00+00:00;1.5928218E-005;30.1;24;0.003051175;0.0028641732
28.09.2000T00:00:00+00:00;1.5115454E-005;31.7;24;0.01161415;0.0028641732
29.09.2000T00:00:00+00:00;1.4358464E-005;28.1;24.3;0.0070866;0.0029869704
30.09.2000T00:00:00+00:00;1.3600214E-005;29.7;24;0.0125984;0.0029869704
01.10.2000T00:00:00+00:00;1.2126446E-005;32.8;25;0.001476375;0.0029869704
02.10.2000T00:00:00+00:00;1.1063624E-005;33.1;25;0;0.0029869704
03.10.2000T00:00:00+00:00;1.0223078E-005;30.7;22;0;0.0029869704
04.10.2000T00:00:00+00:00;1.2478282E-005;30.8;22;0.073720325;0.0029869704
05.10.2000T00:00:00+00:00;3.396824E-005;29.6;24;0.0007874;0.0029869704
06.10.2000T00:00:00+00:00;2.690028E-005;30.1;23;0.0007874;0.0029869704
07.10.2000T00:00:00+00:00;2.937616E-005;31.5;24;0;0.0029869704
08.10.2000T00:00:00+00:00;3.242746E-005;32.9;24;0;0.0029869704
09.10.2000T00:00:00+00:00;3.567386E-005;32.5;24;0;0.0029869704
10.10.2000T00:00:00+00:00;3.60244E-005;32.3;24;0;0.0029869704
11.10.2000T00:00:00+00:00;3.817874E-005;32.5;25;0;0.0029869704
12.10.2000T00:00:00+00:00;3.710644E-005;34.4;24;0.0007874;0.0029869704
13.10.2000T00:00:00+00:00;3.671256E-005;29.1;20;0.0007874;0.0029869704
14.10.2000T00:00:00+00:00;3.512448E-005;23.1;18;0;0.0029869704
15.10.2000T00:00:00+00:00;3.249528E-005;19.8;18;0.067617975;0.0029869704
16.10.2000T00:00:00+00:00;4.004632E-005;19.2;18;0.029822775;0.0029869704
17.10.2000T00:00:00+00:00;8.459578E-005;21;9.6;0.024704675;0.0029869704
18.10.2000T00:00:00+00:00;0.0001694578;28.4;19;0;0.0029869704
19.10.2000T00:00:00+00:00;0.0004020678;22.2;20;0.019980275;0.0029869704
20.10.2000T00:00:00+00:00;0.0007389452;26.5;21.5;0.00177165;0.0029869704
21.10.2000T00:00:00+00:00;0.0010638178;28.4;22;0;0.0029869704
22.10.2000T00:00:00+00:00;0.000749387;30.3;23;0;0.0029869704
23.10.2000T00:00:00+00:00;0.0004976908;31.6;24;0;0.0029869704
24.10.2000T00:00:00+00:00;0.000354802;32.1;24.8;0;0.0029869704
25.10.2000T00:00:00+00:00;0.00027199;32.1;23;0;0.0029869704
26.10.2000T00:00:00+00:00;0.0002125772;32;24;0;0.0029869704
27.10.2000T00:00:00+00:00;0.0001676491;31.9;23;0;0.0029869704
28.10.2000T00:00:00+00:00;0.0001338039;30;23.6;0.00098425;0.0029869704
29.10.2000T00:00:00+00:00;0.0001084729;26.7;21.3;0.02224405;0.0029869704
30.10.2000T00:00:00+00:00;8.870328E-005;27.6;18;0;0.0027591864
31.10.2000T00:00:00+00:00;7.374588E-005;27.4;17;0.000492125;0.0027591864
01.11.2000T00:00:00+00:00;0.000062839;27.5;15;0;0.0027591864
02.11.2000T00:00:00+00:00;0.000054461;26.8;16;0;0.0027591864
03.11.2000T00:00:00+00:00;4.744622E-005;26;14;0;0.0027591864
04.11.2000T00:00:00+00:00;4.165436E-005;27.5;16;0;0.0027591864
05.11.2000T00:00:00+00:00;3.691452E-005;27.9;15;0;0.0027591864
06.11.2000T00:00:00+00:00;3.282082E-005;28.7;16;0;0.0027591864
07.11.2000T00:00:00+00:00;2.926526E-005;28.7;17;0;0.0027591864
08.11.2000T00:00:00+00:00;2.642162E-005;30.1;17;0;0.0027591864
09.11.2000T00:00:00+00:00;2.41059E-005;28.8;19;0;0.0027591864
10.11.2000T00:00:00+00:00;2.187328E-005;28.8;20;0;0.0027591864
11.11.2000T00:00:00+00:00;1.9984302E-005;26.9;17;0;0.0027591864
12.11.2000T00:00:00+00:00;1.841621E-005;24;15;0;0.0027591864
13.11.2000T00:00:00+00:00;1.694553E-005;24.1;16.8;0;0.0027591864
14.11.2000T00:00:00+00:00;1.5619442E-005;25.3;19.8;0;0.0027591864
15.11.2000T00:00:00+00:00;1.4490894E-005;27.1;21;0;0.0027591864
16.11.2000T00:00:00+00:00;0.000013532;27;20;0;0.0027591864
17.11.2000T00:00:00+00:00;1.2615482E-005;25;19;0;0.0027591864
18.11.2000T00:00:00+00:00;0.000011811;21.5;18;0;0.0027591864
19.11.2000T00:00:00+00:00;1.1050576E-005;26;18;0;0.0027591864
20.11.2000T00:00:00+00:00;1.0406338E-005;20.7;11;0;0.0027591864
21.11.2000T00:00:00+00:00;9.825496E-006;22.8;12;0;0.0027591864
22.11.2000T00:00:00+00:00;9.261392E-006;24.1;12;0;0.0027591864
23.11.2000T00:00:00+00:00;8.771504E-006;25.9;13.9;0;0.0027591864
24.11.2000T00:00:00+00:00;8.282494E-006;26.3;16;0;0.0027591864
25.11.2000T00:00:00+00:00;7.829822E-006;24.5;19;0.0007874;0.0027591864
26.11.2000T00:00:00+00:00;7.37175E-006;23.2;21;0.002066925;0.0027591864
27.11.2000T00:00:00+00:00;6.969794E-006;27.6;22;0;0.0027591864
